study_accession	sample_accession	analysis_accession	analysis_type	tax_id	scientific_name	submitted_ftp
PRJEB28318	SAMEA4028866	ERZ683882	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683882/ERZ683882.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683882/HG00142.cram
PRJEB28318	SAMEA4028857	ERZ683883	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683883/HG00127.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683883/ERZ683883.md5
PRJEB28318	SAMEA4028867	ERZ683884	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683884/HG00143.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683884/ERZ683884.md5
PRJEB28318	SAMEA4028872	ERZ683885	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683885/HG00154.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683885/ERZ683885.md5
PRJEB28318	SAMEA3491475	ERZ683886	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683886/ERZ683886.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683886/HG00097.cram
PRJEB28318	SAMEA4028880	ERZ683887	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683887/HG00242.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683887/ERZ683887.md5
PRJEB28318	SAMEA3491492	ERZ683888	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683888/HG00253.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683888/ERZ683888.md5
PRJEB28318	SAMEA4028887	ERZ683889	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683889/HG00263.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683889/ERZ683889.md5
PRJEB28318	SAMEA4028904	ERZ683890	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683890/HG00156.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683890/ERZ683890.md5
PRJEB28318	SAMEA4028892	ERZ683891	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683891/HG00105.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683891/ERZ683891.md5
PRJEB28318	SAMEA3491486	ERZ683892	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683892/ERZ683892.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683892/HG00236.cram
PRJEB28318	SAMEA4028849	ERZ683893	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683893/ERZ683893.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683893/HG00117.cram
PRJEB28318	SAMEA4028875	ERZ683894	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683894/ERZ683894.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683894/HG00232.cram
PRJEB28318	SAMEA4028903	ERZ683895	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683895/ERZ683895.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683895/HG00155.cram
PRJEB28318	SAMEA4028899	ERZ683896	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683896/ERZ683896.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683896/HG00140.cram
PRJEB28318	SAMEA4028911	ERZ683897	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683897/HG01790.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683897/ERZ683897.md5
PRJEB28318	SAMEA4028882	ERZ683898	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683898/HG00244.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683898/ERZ683898.md5
PRJEB28318	SAMEA4028838	ERZ683899	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683899/HG00096.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683899/ERZ683899.md5
PRJEB28318	SAMEA3491495	ERZ683900	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683900/ERZ683900.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683900/HG00258.cram
PRJEB28318	SAMEA3491476	ERZ683901	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683901/ERZ683901.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683901/HG00099.cram
PRJEB28318	SAMEA4028877	ERZ683902	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683902/ERZ683902.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683902/HG00234.cram
PRJEB28318	SAMEA4028900	ERZ683903	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683903/ERZ683903.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683903/HG00145.cram
PRJEB28318	SAMEA3491487	ERZ683904	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683904/ERZ683904.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683904/HG00240.cram
PRJEB28318	SAMEA4028839	ERZ683905	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683905/ERZ683905.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683905/HG00100.cram
PRJEB28318	SAMEA4028859	ERZ683906	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683906/HG00129.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683906/ERZ683906.md5
PRJEB28318	SAMEA4028873	ERZ683907	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683907/ERZ683907.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683907/HG00159.cram
PRJEB28318	SAMEA4028847	ERZ683908	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683908/ERZ683908.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683908/HG00114.cram
PRJEB28318	SAMEA4028840	ERZ683909	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683909/ERZ683909.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683909/HG00101.cram
PRJEB28318	SAMEA3491498	ERZ683910	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683910/HG00261.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683910/ERZ683910.md5
PRJEB28318	SAMEA4028842	ERZ683911	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683911/HG00103.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683911/ERZ683911.md5
PRJEB28318	SAMEA3491483	ERZ683912	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683912/HG00139.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683912/ERZ683912.md5
PRJEB28318	SAMEA4028902	ERZ683913	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683913/HG00152.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683913/ERZ683913.md5
PRJEB28318	SAMEA4028861	ERZ683914	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683914/HG00131.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683914/ERZ683914.md5
PRJEB28318	SAMEA4028870	ERZ683915	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683915/ERZ683915.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683915/HG00150.cram
PRJEB28318	SAMEA3491491	ERZ683916	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683916/ERZ683916.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683916/HG00252.cram
PRJEB28318	SAMEA4028854	ERZ683917	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683917/ERZ683917.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683917/HG00122.cram
PRJEB28318	SAMEA4028885	ERZ683918	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683918/ERZ683918.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683918/HG00255.cram
PRJEB28318	SAMEA3491479	ERZ683919	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683919/ERZ683919.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683919/HG00123.cram
PRJEB28318	SAMEA4028891	ERZ683920	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683920/HG00098.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683920/ERZ683920.md5
PRJEB28318	SAMEA3491477	ERZ683921	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683921/ERZ683921.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683921/HG00104.cram
PRJEB28318	SAMEA4028852	ERZ683922	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683922/HG00120.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683922/ERZ683922.md5
PRJEB28318	SAMEA4028871	ERZ683923	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683923/HG00151.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683923/ERZ683923.md5
PRJEB28318	SAMEA4028879	ERZ683924	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683924/ERZ683924.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683924/HG00239.cram
PRJEB28318	SAMEA4028844	ERZ683925	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683925/ERZ683925.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683925/HG00108.cram
PRJEB28318	SAMEA4028865	ERZ683926	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683926/HG00141.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683926/ERZ683926.md5
PRJEB28318	SAMEA4028894	ERZ683927	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683927/ERZ683927.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683927/HG00109.cram
PRJEB28318	SAMEA4028884	ERZ683928	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683928/ERZ683928.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683928/HG00246.cram
PRJEB28318	SAMEA4028853	ERZ683929	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683929/ERZ683929.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683929/HG00121.cram
PRJEB28318	SAMEA4028883	ERZ683930	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683930/HG00245.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683930/ERZ683930.md5
PRJEB28318	SAMEA4028890	ERZ683931	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683931/ERZ683931.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683931/HG01334.cram
PRJEB28318	SAMEA3491488	ERZ683932	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683932/HG00249.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683932/ERZ683932.md5
PRJEB28318	SAMEA4028910	ERZ683933	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683933/ERZ683933.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683933/HG01789.cram
PRJEB28318	SAMEA3491489	ERZ683934	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683934/ERZ683934.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683934/HG00250.cram
PRJEB28318	SAMEA4028848	ERZ683935	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683935/HG00116.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683935/ERZ683935.md5
PRJEB28318	SAMEA4028869	ERZ683936	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683936/HG00149.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683936/ERZ683936.md5
PRJEB28318	SAMEA3491496	ERZ683937	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683937/HG00259.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683937/ERZ683937.md5
